,Factory,Ulke,Sehir,Tarih,Kurulus_tarihi,Veri_analistci_tecrubesi,Isci_sayisi,Isci__memnuniyeti,Aylik_uretim_miktari,Uretim_hizi,Gunluk_uretilen_miktar,Gunluk_calisma_suresi,Max_uretilen_urun,Fabrika_sayisi,Yonetici_sayisi,Kapasite_durumu,Lojistik,Lojistik_tur_sayisi,Kullanilan_makina,Uretim_cesidi,Fabrika_depo_sayisi,Ham_madde_cesidi,Kesikli_uretim,Surekli_uretim,Esnek_uretim,Ceo_degisimi,Toplam_uretilmis_urun,Populerite,Malzeme_kalitesi,Urunbasi_ortalama_maliyet,Urunbasi_ortalama_kar,Max_fiyat,Min_fiyat,Max_kar,Max_zarar,Aylik_toplanti,Vardiya,Calisanlara_mesai,Mola_suresi,Urun_hata_orani,Satislarin_dusme_orani,Ortaklarla_uyum,Tedarikci_zorluk_yasanmasi,Calisan_tecrubesi,Ustabasilarinin_ise_önemvermesi,Patronlarin_donanimi,Kasada_acik_cikmasi,Malzeme_kaybi,Dogal_afetler,Tehcizat_pahaliligi,Makine_pahaliligi,Reklam_yetersizligi,Musteriye_hitap,Ithalat_ihracat_sorunlari,Globallesme_orani,Maaslarda_kesinti_orani,Sosyal_medyayi_kullanma,Yanlis_marka_ismi,Pazar_payi,Is_sagligi_orani,Musteri_hizmetlerinin_ilgisi,Yanlis_strateji,Sermayenin_tukenmesi,Vergi_usulsuzlugu,Is_yerindetorpil,Ortaklik_sorunlari,Dunya_ekonomisi_cokusleri,Yazilim_gelistirmeleri,Calisma_veduzenli_uretim,Muhasebeci_tecrubesi,Devam_durumu
10,Factory11,Turkiye,Kocaeli,12.05.2020,1987,3,2002,5,376000,5,13400,8,356000,16,7,390000,YES,3,15,29,14,6,YES,YES,YES,4,12400000,5,1,265,365,388,233,33,28,5,3,2,1SAAT,2,1,3,2,2,1,3,YES,NO,NO,3,2,YES,3,NO,1,0,YES,NO,5,5,5,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
11,Factory12,Turkiye,K.maras,12.05.2020,1995,2,3312,2,346000,5,17545,8,476000,17,14,510000,YES,3,14,45,5,3,YES,YES,YES,0,20000000,5,3,245,345,410,320,120,15,7,3,1,1SAAT,2,2,4,2,3,2,4,YES,NO,YES,4,3,YES,4,NO,5,0,YES,NO,5,4,3,NO,NO,NO,YES,NO,NO,4,YES,4,Isliyor
12,Factory13,Turkiye,Tokat,12.05.2020,1987,5,1089,2,288000,5,12300,8,610000,10,16,800000,YES,3,16,33,6,4,YES,YES,YES,2,20000000,4,4,276,376,415,325,125,22,8,3,1,1SAAT,1,3,3,1,5,3,5,NO,NO,YES,5,4,NO,5,YES,4,0,NO,YES,5,3,3,YES,YES,YES,NO,YES,NO,3,NO,3,Isliyor
13,Factory14,Turkiye,Samsun,12.05.2020,1977,2,3001,4,356000,5,12100,8,240000,9,17,300000,YES,3,17,26,7,6,YES,YES,YES,8,30000000,5,5,254,354,420,330,130,42,9,3,0,1SAAT,2,3,2,2,4,2,3,YES,NO,NO,2,5,YES,5,YES,3,2,NO,NO,3,4,3,NO,NO,NO,NO,YES,YES,4,NO,4,Isliyor
14,Factory15,Turkiye,Zonguldak,12.05.2020,1983,2,2678,1,476000,5,3500,8,298000,11,9,340000,YES,3,18,32,9,9,YES,YES,YES,6,10000000,5,2,256,356,408,302,102,50,3,3,3,1SAAT,3,2,3,3,2,1,1,NO,NO,NO,1,4,YES,5,YES,2,3,NO,YES,2,5,4,YES,YES,YES,NO,NO,YES,5,NO,5,Isliyor
15,Factory16,Turkiye,Adana,12.05.2020,1984,4,2780,0,610000,4,5000,8,398000,15,10,420000,YES,3,19,15,8,3,YES,YES,YES,3,15000000,5,4,287,387,356,264,64,38,4,3,4,1SAAT,3,1,4,2,3,2,3,NO,NO,NO,5,3,YES,5,NO,1,1,YES,NO,3,2,5,NO,NO,NO,NO,NO,NO,2,YES,2,Isliyor
16,Factory17,Turkiye,Istanbul,12.05.2020,1989,2,2657,2,240000,3,5500,8,488000,14,10,520000,YES,3,15,17,5,5,YES,YES,YES,5,18000000,5,5,356,456,498,330,130,21,5,3,2,1SAAT,2,2,3,1,5,3,4,NO,NO,NO,4,4,NO,2,NO,5,0,YES,NO,4,3,4,NO,NO,NO,NO,NO,YES,3,YES,3,Isliyor
17,Factory18,Turkiye,Giresun,12.05.2020,1990,3,2569,3,298000,3,4500,8,237000,16,9,345000,YES,3,14,18,68,6,YES,YES,YES,4,12000000,2,1,276,376,390,290,90,50,6,3,3,1SAAT,1,3,2,2,4,2,5,NO,NO,NO,3,5,NO,3,NO,3,0,YES,YES,5,4,5,NO,NO,NO,NO,YES,YES,4,YES,4,Isliyor
18,Factory19,Turkiye,Sakarya,12.05.2020,1965,2,2412,5,398000,3,12320,8,360000,14,12,430000,YES,2,13,14,6,4,YES,YES,YES,2,11000000,4,3,287,387,312,200,0,70,7,3,4,1SAAT,2,1,3,3,2,1,3,YES,NO,NO,2,4,NO,4,YES,4,0,NO,NO,4,4,4,NO,NO,NO,NO,NO,YES,4,NO,4,Isliyor
19,Factory20,Turkiye,Ankara,12.05.2020,1967,3,3245,4,488000,2,13450,9,420000,14,13,700000,YES,2,12,16,15,3,YES,YES,YES,4,24000000,2,5,234,334,320,210,10,30,3,3,2,45DK,3,1,4,2,3,5,2,NO,NO,YES,1,3,YES,1,YES,2,0,NO,YES,3,3,5,NO,NO,NO,NO,YES,NO,3,NO,3,Isliyor
20,Factory21,Turkiye,Trabzon,12.05.2020,1987,5,2156,1,237000,3,12000,10,310000,14,14,670000,YES,3,10,27,14,7,YES,YES,YES,2,12300000,4,4,256,356,400,300,100,0,2,3,2,45DK,1,4,4,1,4,5,5,YES,NO,NO,5,5,YES,2,YES,4,0,NO,YES,4,4,3,NO,NO,NO,NO,NO,NO,4,NO,4,Isliyor
21,Factory22,Turkiye,Rize,12.05.2020,1977,4,2089,3,360000,3,14000,10,189000,16,8,300000,YES,3,13,18,11,9,YES,YES,YES,5,12400000,3,2,276,376,350,250,50,20,1,3,2,45DK,1,3,5,2,3,3,1,NO,NO,YES,3,2,YES,3,YES,3,2,YES,NO,5,5,3,NO,NO,NO,NO,YES,NO,5,YES,5,Isliyor
22,Factory23,Turkiye,Gumushane,12.05.2020,1976,3,2004,2,420000,3,11000,8,348700,15,11,200000,YES,3,16,27,10,5,YES,YES,YES,3,20000000,4,3,254,354,368,240,40,10,5,2,2,45DK,4,2,3,5,5,4,3,NO,NO,NO,4,3,NO,3,YES,2,3,YES,NO,2,3,3,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
23,Factory24,Turkiye,Malatya,12.05.2020,1987,3,2009,4,310000,5,17000,8,465000,12,6,150000,YES,3,17,32,12,4,YES,YES,YES,7,20000000,3,1,237,337,370,270,70,42,6,2,2,45DK,3,1,2,3,3,5,4,YES,NO,NO,2,1,NO,4,YES,5,4,YES,NO,3,3,3,NO,NO,NO,NO,NO,NO,3,YES,3,Isliyor
24,Factory25,Turkiye,Hatay,12.05.2020,1967,5,3125,3,189000,4,12000,9,276000,13,11,150000,YES,3,22,31,1,6,YES,YES,YES,3,30000000,4,5,298,398,359,250,50,38,8,2,2,45DK,2,2,3,4,1,1,5,NO,NO,NO,4,1,NO,4,YES,4,5,YES,NO,4,3,4,NO,NO,NO,NO,NO,NO,3,YES,3,Isliyor
25,Factory26,Turkiye,Kocaeli,12.05.2020,1999,4,3689,5,348700,1,9000,8,165000,14,10,450000,YES,3,26,23,8,8,YES,YES,YES,3,10000000,4,3,299,399,355,252,52,12,4,2,3,45DK,1,2,5,5,3,2,2,YES,NO,NO,3,1,YES,4,YES,3,0,YES,NO,4,4,5,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
26,Factory27,Turkiye,K.maras,12.05.2020,2001,3,3994,3,465000,5,6000,8,340000,15,12,420000,YES,3,23,36,9,4,YES,YES,YES,3,15000000,4,1,301,401,342,263,63,33,5,2,2,45DK,2,2,4,1,4,3,1,YES,NO,NO,2,2,YES,4,YES,5,0,YES,NO,3,5,4,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
27,Factory28,Turkiye,Tokat,12.05.2020,2002,5,4015,4,276000,3,15000,8,330000,16,14,400000,YES,3,24,43,6,6,YES,YES,YES,2,18000000,3,3,289,389,388,233,33,28,3,2,4,45DK,2,2,2,2,5,1,5,NO,NO,YES,5,3,YES,5,YES,4,0,YES,YES,4,4,5,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
28,Factory29,Turkiye,Samsun,12.05.2020,1963,3,1082,2,165000,4,19800,8,230000,12,15,340000,YES,1,25,24,20,3,NO,YES,NO,1,12000000,3,4,304,404,410,320,120,15,7,2,5,45DK,2,1,3,3,3,5,4,NO,NO,YES,4,4,YES,3,YES,3,0,YES,NO,5,3,4,NO,NO,NO,NO,YES,YES,3,YES,3,Isliyor
29,Factory30,Turkiye,Zonguldak,12.05.2020,1956,4,3659,1,340000,3,12600,8,540000,18,9,390000,YES,3,29,31,25,8,NO,YES,NO,4,11000000,5,5,307,407,415,325,125,22,6,3,5,45DK,2,2,5,1,1,2,3,NO,NO,NO,3,0,YES,4,NO,4,1,YES,YES,4,4,2,NO,NO,NO,NO,NO,YES,4,YES,4,Isliyor
30,Factory31,Turkiye,Adana,12.05.2020,1967,2,4203,0,330000,5,13400,8,570000,10,7,510000,YES,3,21,23,13,5,YES,YES,YES,5,24000000,5,1,214,314,420,330,130,42,5,3,4,45DK,1,1,4,2,3,2,2,NO,NO,NO,5,4,YES,5,YES,5,3,YES,YES,3,5,3,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
31,Factory32,Turkiye,Istanbul,12.05.2020,1988,4,2658,2,230000,4,17545,8,240000,11,10,800000,YES,3,14,26,14,3,YES,YES,YES,2,12300000,1,2,239,339,408,302,102,50,3,3,5,45DK,3,4,2,2,4,2,1,YES,YES,NO,4,3,YES,4,YES,2,4,YES,NO,3,4,4,YES,YES,YES,NO,NO,YES,4,YES,2,Isliyor
32,Factory33,Turkiye,Giresun,12.05.2020,1977,2,2698,4,540000,2,12300,8,160000,12,18,300000,YES,3,46,10,24,4,NO,YES,NO,13,12400000,1,1,238,338,356,264,64,38,8,3,4,45DK,4,3,1,2,5,3,1,YES,YES,NO,3,2,YES,5,YES,2,2,NO,NO,4,5,5,NO,YES,NO,YES,YES,NO,3,NO,5,Isliyor
33,Factory34,Turkiye,Sakarya,12.05.2020,1999,4,2689,5,570000,3,12100,8,115000,13,14,340000,YES,3,15,5,26,8,YES,YES,YES,6,20000000,4,2,290,390,498,330,130,21,7,3,6,45DK,2,2,4,2,3,2,3,YES,NO,NO,4,3,YES,4,NO,3,0,YES,NO,5,4,5,NO,NO,NO,NO,YES,YES,4,YES,4,Isliyor
34,Factory35,Turkiye,Ankara,12.05.2020,2000,5,3001,4,240000,4,3500,8,125000,14,9,420000,YES,3,38,9,5,5,YES,YES,YES,4,20000000,2,3,287,387,390,290,90,50,5,3,5,45DK,3,1,3,1,2,3,4,NO,NO,YES,5,0,YES,5,NO,4,0,YES,NO,4,5,5,NO,NO,NO,NO,YES,NO,5,YES,5,Isliyor
35,Factory36,Turkiye,Trabzon,12.05.2020,2001,4,3016,3,160000,1,5000,9,390000,15,15,520000,YES,2,21,11,3,4,YES,YES,YES,5,30000000,3,2,276,376,312,200,0,70,4,3,4,45DK,2,2,5,2,5,3,2,YES,NO,YES,3,4,YES,3,NO,3,0,YES,YES,3,3,5,YES,YES,YES,NO,YES,NO,3,YES,3,Isliyor
36,Factory37,Turkiye,Rize,12.05.2020,2002,3,3259,2,115000,5,5500,8,376000,15,11,345000,YES,2,24,21,6,3,YES,YES,YES,1,10000000,5,4,308,408,320,210,10,30,3,3,3,45DK,1,4,3,3,1,2,4,YES,NO,NO,2,0,NO,4,YES,2,2,NO,YES,4,3,5,NO,NO,NO,NO,NO,NO,3,NO,3,Isliyor
37,Factory38,Turkiye,Gumushane,12.05.2020,1987,2,1658,5,125000,4,4500,8,346000,15,9,430000,YES,1,16,23,8,6,YES,YES,YES,2,15000000,4,5,309,409,400,300,100,0,8,3,6,45DK,2,1,1,3,3,5,3,NO,NO,YES,3,3,YES,5,YES,3,1,NO,NO,5,4,5,NO,NO,NO,NO,NO,NO,4,NO,4,Isliyor
38,Factory39,Turkiye,Malatya,12.05.2020,1988,5,2258,2,390000,3,12320,10,288000,14,21,700000,YES,3,11,26,9,7,YES,YES,YES,3,18000000,2,1,304,404,350,250,50,20,5,3,5,45DK,4,3,3,2,4,5,2,NO,NO,NO,4,0,YES,4,YES,4,0,NO,NO,4,5,5,NO,NO,NO,NO,NO,NO,5,NO,5,Isliyor
39,Factory40,Turkiye,Hatay,12.05.2020,1999,2,3456,2,376000,5,13450,9,356000,12,16,670000,YES,3,12,28,17,9,YES,YES,YES,6,12000000,5,3,236,336,368,240,40,10,6,3,4,45DK,1,2,4,1,5,5,5,NO,NO,NO,3,1,YES,5,NO,3,0,YES,NO,5,5,5,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
40,Factory41,Turkiye,Kocaeli,12.05.2020,1976,2,2700,4,346000,5,12000,7,476000,12,4,300000,YES,3,14,32,15,5,YES,YES,NO,5,11000000,4,2,276,376,370,270,70,42,3,3,3,45DK,3,1,5,2,2,1,4,NO,NO,NO,2,0,NO,5,NO,2,0,YES,NO,4,2,5,NO,NO,NO,NO,YES,NO,2,YES,2,Isliyor
41,Factory42,Turkiye,K.maras,12.05.2020,2003,4,2010,1,288000,5,14000,7,610000,13,3,200000,YES,3,13,12,16,4,YES,YES,NO,8,24000000,3,1,345,445,359,250,50,38,2,3,4,45DK,2,2,3,3,1,5,3,YES,NO,NO,3,3,NO,5,NO,3,0,YES,NO,5,3,4,NO,NO,NO,NO,NO,NO,3,YES,3,Isliyor
42,Factory43,Turkiye,Tokat,12.05.2020,1967,2,4002,0,356000,5,11000,8,240000,10,5,150000,YES,3,15,23,14,6,YES,YES,YES,7,12300000,5,4,432,532,355,252,52,12,9,3,5,45DK,1,3,1,1,5,4,5,YES,NO,YES,4,0,NO,5,YES,4,3,NO,YES,3,4,3,NO,NO,NO,NO,YES,NO,4,NO,4,Isliyor
43,Factory44,Turkiye,Samsun,12.05.2020,2005,3,3578,2,476000,5,17000,8,298000,10,11,150000,YES,2,18,25,2,7,YES,YES,NO,4,12400000,4,5,346,446,342,263,63,33,8,2,6,45DK,2,1,3,1,4,3,4,NO,NO,NO,3,0,YES,3,YES,4,4,NO,YES,3,5,0,NO,NO,NO,NO,NO,YES,5,NO,5,Isliyor
44,Factory45,Turkiye,Zonguldak,12.05.2020,2010,2,1010,3,610000,5,12000,9,398000,11,12,450000,YES,1,17,27,3,5,YES,YES,NO,5,20000000,2,3,340,440,388,233,33,28,5,2,3,45DK,3,2,4,4,3,5,3,NO,NO,YES,2,0,YES,2,YES,5,2,NO,NO,4,4,0,NO,NO,NO,NO,NO,YES,4,NO,4,Isliyor
45,Factory46,Turkiye,Adana,12.05.2020,1956,3,2657,5,240000,4,9000,10,488000,11,7,420000,YES,3,14,32,5,4,YES,YES,YES,1,20000000,3,1,287,387,410,320,120,15,3,2,2,45DK,1,2,5,3,2,1,4,NO,NO,NO,3,0,YES,1,YES,3,3,YES,YES,5,5,2,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
46,Factory47,Turkiye,Istanbul,12.05.2020,1976,5,2978,4,298000,3,6000,8,237000,11,14,400000,YES,2,13,23,9,6,YES,YES,YES,2,30000000,4,4,297,397,415,325,125,22,2,2,3,45DK,2,1,3,2,1,5,5,NO,NO,NO,4,4,NO,4,YES,2,4,YES,NO,5,4,3,NO,NO,NO,NO,YES,YES,4,YES,4,Isliyor
47,Factory48,Turkiye,Giresun,12.05.2020,1986,4,3224,1,398000,3,15000,7,360000,11,16,340000,YES,3,15,34,8,7,NO,YES,YES,5,10000000,5,0,399,499,420,330,130,42,7,2,4,45DK,2,0,2,1,5,2,3,NO,NO,YES,4,3,NO,5,YES,3,1,YES,NO,2,5,4,NO,NO,NO,NO,YES,YES,5,YES,5,Isliyor
48,Factory49,Turkiye,Sakarya,12.05.2020,1989,4,3548,3,488000,3,19800,8,420000,15,17,390000,YES,3,14,21,6,3,NO,YES,YES,6,15000000,2,3,385,485,408,302,102,50,5,2,3,45DK,1,1,5,2,3,2,2,YES,NO,NO,5,2,NO,1,YES,5,1,YES,NO,3,3,5,NO,NO,NO,NO,NO,YES,3,YES,3,Isliyor
49,Factory50,Turkiye,Ankara,12.05.2020,1967,2,2002,5,237000,2,12600,10,310000,14,9,510000,YES,3,16,20,2,4,YES,YES,YES,4,18000000,3,2,345,445,356,264,64,38,4,1,2,45DK,0,2,1,2,4,2,3,YES,NO,NO,3,3,YES,5,YES,4,1,YES,NO,4,3,3,NO,NO,NO,NO,NO,NO,3,YES,3,Isliyor
50,Factory51,Turkiye,Trabzon,12.05.2020,1987,3,3312,4,360000,3,13400,8,189000,15,10,800000,YES,3,17,21,1,6,YES,YES,YES,2,12000000,5,5,376,476,498,330,130,21,3,1,2,45DK,1,1,3,2,2,1,4,NO,NO,NO,2,1,YES,2,YES,2,1,YES,YES,5,4,4,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
51,Factory52,Turkiye,Rize,12.05.2020,1967,2,1089,3,420000,3,17545,8,348700,19,10,300000,YES,3,18,12,16,8,YES,YES,YES,5,11000000,4,0,354,454,390,290,90,50,8,1,4,45DK,2,2,4,2,4,2,3,YES,NO,NO,3,0,YES,1,YES,3,1,YES,NO,4,5,5,NO,NO,NO,NO,YES,NO,5,YES,5,Isliyor
52,Factory53,Turkiye,Gumushane,12.05.2020,1987,3,3001,5,310000,3,12300,8,465000,20,9,340000,YES,3,19,23,5,9,YES,YES,YES,1,24000000,2,5,361,461,312,200,0,70,9,2,5,45DK,1,1,5,1,3,5,2,NO,NO,YES,5,4,YES,5,YES,5,2,YES,YES,5,4,4,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
53,Factory54,Turkiye,Malatya,12.05.2020,2006,5,2678,3,189000,5,12100,8,276000,14,12,420000,YES,3,15,26,4,5,YES,YES,YES,1,12300000,3,3,352,452,320,210,10,30,4,3,3,45DK,2,2,2,2,2,2,3,NO,NO,NO,4,2,YES,3,NO,4,0,YES,NO,4,5,5,NO,NO,NO,NO,YES,NO,5,YES,5,Isliyor
54,Factory55,Turkiye,Hatay,12.05.2020,2009,4,2780,4,348700,4,3500,8,165000,10,13,520000,YES,3,14,4,3,6,YES,YES,YES,1,12400000,5,0,362,462,400,300,100,0,1,2,2,45DK,1,1,1,1,5,3,4,NO,NO,YES,2,1,YES,2,YES,2,0,YES,NO,5,4,0,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
55,Factory56,Turkiye,Kocaeli,12.05.2020,1987,1,2657,2,465000,1,5000,8,340000,11,14,345000,YES,3,13,7,6,3,YES,YES,YES,0,20000000,4,2,373,473,350,250,50,20,4,1,4,45DK,2,2,5,2,4,2,3,NO,NO,NO,3,0,YES,4,YES,2,0,YES,YES,3,5,0,NO,NO,NO,NO,YES,NO,5,YES,5,Isliyor
56,Factory57,Turkiye,K.maras,12.05.2020,1986,3,2569,1,276000,5,5500,8,330000,13,8,430000,YES,3,12,6,10,4,YES,YES,YES,3,20000000,2,0,384,484,368,240,40,10,6,2,5,45DK,1,2,4,3,3,1,2,YES,NO,NO,5,4,YES,5,YES,3,0,NO,NO,3,4,0,NO,NO,NO,NO,NO,NO,4,NO,4,Isliyor
57,Factory58,Turkiye,Tokat,12.05.2020,1999,5,2412,0,165000,3,4500,8,230000,14,11,700000,YES,3,10,9,11,6,YES,YES,YES,6,30000000,3,3,397,497,370,270,70,42,7,3,2,45DK,2,2,3,2,5,5,3,NO,NO,YES,4,3,YES,1,NO,4,2,YES,YES,4,5,4,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
58,Factory59,Turkiye,Samsun,12.05.2020,2015,4,3245,2,340000,4,12320,8,540000,8,6,670000,YES,3,13,8,5,9,YES,YES,YES,5,10000000,1,1,376,476,359,250,50,38,4,2,3,45DK,2,2,2,1,4,4,4,YES,NO,NO,2,2,YES,0,NO,3,3,YES,YES,5,4,5,NO,NO,NO,NO,NO,YES,4,YES,4,Isliyor
59,Factory60,Turkiye,Zonguldak,12.05.2020,2012,3,2156,4,330000,3,13450,8,570000,12,11,300000,YES,3,16,12,6,3,YES,YES,YES,4,15000000,4,0,365,465,355,252,52,12,3,1,4,45DK,2,1,1,2,3,5,4,NO,NO,YES,2,1,YES,5,NO,2,2,YES,NO,4,4,4,NO,NO,NO,NO,NO,YES,4,YES,4,Isliyor
60,Factory61,Turkiye,Adana,12.05.2020,2009,5,2089,5,230000,5,12000,8,240000,11,10,200000,YES,3,17,11,1,5,YES,YES,YES,0,18000000,5,4,431,531,342,263,63,33,6,2,2,45DK,2,2,5,4,4,5,5,NO,NO,YES,3,0,NO,4,YES,3,1,NO,NO,5,4,5,NO,NO,NO,NO,NO,NO,4,NO,4,Isliyor
61,Factory62,Turkiye,Istanbul,12.05.2020,1980,3,2004,4,540000,4,14000,8,160000,15,12,150000,YES,3,22,21,12,6,YES,YES,YES,2,12000000,2,0,412,512,388,233,33,28,7,3,1,45DK,1,3,3,1,5,2,3,YES,NO,NO,4,5,YES,5,YES,4,3,NO,NO,4,4,5,NO,NO,NO,NO,YES,YES,4,NO,4,Isliyor
62,Factory63,Turkiye,Giresun,12.05.2020,1978,4,2009,3,570000,2,11000,8,115000,10,14,150000,YES,3,26,23,14,4,YES,YES,YES,8,11000000,3,5,422,522,410,320,120,15,8,2,1,45DK,2,3,4,3,3,5,2,NO,NO,NO,3,3,YES,5,YES,4,1,NO,NO,5,4,5,NO,NO,NO,NO,YES,YES,4,NO,4,Isliyor
63,Factory64,Turkiye,Sakarya,12.05.2020,1989,2,3125,2,240000,3,17000,8,125000,10,15,450000,YES,3,23,26,5,3,YES,YES,YES,6,24000000,4,2,455,555,415,325,125,22,3,1,2,45DK,3,2,2,2,2,2,3,YES,NO,NO,2,2,YES,5,NO,5,4,YES,NO,4,5,5,NO,NO,NO,NO,NO,YES,5,YES,5,Isliyor
